Player_name,Hitting,At_bat,Hitting_avr
최형우,522,185,0.354
손아섭,540,190,0.352
로하스,550,192,0.349
박민우,467,161,0.345
페르난데스,586,199,0.340
이정후,544,181,0.333
허경민,437,145,0.332
김현수,547,181,0.331
강백호,500,165,0.330
양의지,461,151,0.328
나성범,525,170,0.324
황재균,541,169,0.312
김동엽,413,129,0.312
오재일,471,147,0.312
구자욱,446,137,0.307
최주환,509,156,0.306
터커,542,166,0.306
박석민,356,109,0.306
이명기,477,146,0.306
김하성,533,163,0.306
김상수,404,123,0.304
박건우,487,148,0.304
오지환,527,158,0.300
정수빈,490,146,0.298
조용호,409,121,0.296
정훈,410,121,0.295
채은성,416,122,0.293
이대호,542,158,0.292
나지완,468,136,0.291
박해민,489,142,0.290
